Ticket ID,Category,Subcategory,Priority,Description,Source
1000001,Hardware,VP Office Display not working properly,High,When the TV in the VP office is connected to a laptop through the docking station the screen has streaks all over it and the image quality is not the best,Synthetic
1000002,Security,Migrating Files from personal drive,Low,The user has work files stored on a personal storage device that need to be migrated to a temporary network drive to ensure they are retained.,Synthetic
1000003,Hardware,Changing the position of the monitors,Low,User wanted to move the monitors to a different orientation however the power bar was not long enough to accommodate the new location.,Synthetic
1000004,Access,Access to Estate Files,Medium,The estate files that were connected to my outlook is missing. Can someone please assist me with locating them?,Synthetic
1000005,Network,Issues connecting to Eduroam,Low,User was having issues connecting to eduroam on their work phone.,Synthetic
1000006,Software,Issues with Skype,Medium,User reported that none of their skype calls were going through and if someone else tried to call them then the caller would hear a hold tone and would not be able to get through to the user either.,Synthetic
1000007,Software,Teams meeting attendees could not hear the user during the meeting,Medium,"User reported that during a Teams meeting, their microphone was unmuted but other participants were unable to hear them.",Synthetic
1000008,Access,Accessing Advancement tracker,Medium,"Good morning, I'm trying to access Advancement Tracker but haven't been able as I'm getting 'Your connection isn't private'. I'm wondering if you might be able to help. Thank you,",Synthetic
1000009,Hardware,Desktop screens not working,Medium,"My monitors stay in sleep mode, and they may need new wiring.",Synthetic
1000010,Hardware,Monitors not working,Medium,User reported that their monitors were not working,Synthetic
1000011,Hardware,Dell Latitude 7400 needs to be re-imaged,Low,"Hi, ADV200601 needs to be re-imaged. It needs a re-image as it is failing to update properly since transitioning from SCCM for updates to Intune with Windows Updates directly from Microsoft. ADV200601 info: Dell Latitude 7400 (HX1M533) NON DTR Many thanks,",Synthetic
1000012,Hardware,New user Setup,Low,[Name] is new SDO on [Name] team. She starts on Thursday the 18th. I need someone to help set up her computer at 10:00. [Name] is on vacation.,Synthetic
1000013,Access,Sync Issues,Medium,"I’m missing some subfolders this morning, I suspect OneDrive sync issues. Would I be able to get some help with that, please? :)",Synthetic
1000014,Software,Display and loading issues,Medium,"I couldn't be on video, and even just on audio my computer was freezing. I tried hot spotting and going to a neighbors to use their internet - but that didn't seem to be the issue. l kept getting this alert - but the only apps I had open was chrome, outlook, loop, OneNote, word and teams - with nothing active happening on those tabs. Error message was displayed saying ""Your CPU is affecting your audio quality, close apps you aren't using.""",Synthetic
1000015,Hardware,Setting up PAC printer,High,"User requested that the print in PAC 2834A be set up on the devices of [Name], [Name] and [Name].",Synthetic
1000016,Hardware,Weird Monitor Aspect Ratio,Low,The aspect ratio for one of the user's monitor was stretched. Checked display settings and the resolution was at 1280 x 720 with no option to increase to 1920 x 1080.,Synthetic
1000017,Software,Document configuration issues,Low,"Hi [Name], I can’t open the attachment properly. Could you try and send it back to me? Thanks so much. [Name]",Synthetic
1000018,Network,User Unable to connect to wifi,High,User reported that they were unable to connect to external WiFi when working from home and were not able to connect to personal hotspot either.,Synthetic
1000019,Hardware,Remove [location] printer from device,Critical,"A printer from another building was found to be installed on the user's device. The user's laptop, as well as the laptops of other staff members within the department, will be reviewed to ensure that only [location] printers are configured and that no printers from other locations have been added.",Synthetic
1000020,Software,Notepad Remembering past files issue,Low,User wanted notepad to not reopen unfinished sessions when the app was started again and to open a fresh session each time.,Synthetic
1000021,Hardware,Monitors not working and email signature help,Low,User reported that her monitors refused to connect to her laptop. She also needed help in setting up a signature on the Apple Mail app.,Synthetic
1000022,Hardware,Intermittent chemical/plastic smell near workstation after monitor rewire,Low,"Since my monitor was rewired last week, I’ve intermittently noticed a marker-like / plastic smell around my cubicle, mainly near the monitor/dock/charging area. Could someone take a look at the setup to ensure nothing is overheating?",Synthetic
1000023,Access,Issues logging in to RT,Medium,User is not able to log in to RT and keeps getting the error message that her password or login id is incorrect.,Synthetic
1000024,Hardware,Setup Mac equipment - [Name],Low,"[Name] is currently using a personal laptop (mac) and one monitor. [Name] had indicated that [Name]would require a full setup (docking station, monitors, keyboard and mouse..). [Name] herself indicated that she would be starting a new role soon and would be getting a Dell laptop.",Synthetic
1000025,Hardware,Dell D6000 Dock needed for dual display setup with MacBook,Low,Dell D6000 Dock needed to allow for use of dual display setup with MacBook according to ticket#149419,Synthetic
